Partner Name,Pillar,Solution (Sales Play),Product,Tier 1 Profiles Count,Tier 2 Profiles Count,Total Tier 1 & 2 Profiles
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,1,2,3
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,The AI Ready Data Cloud,Cloud SQL,1,2,3
VPN Soluçoes em TI LTDA (Venha para Nuvem),Databases,The AI Ready Data Cloud,Spanner,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,2,2,4
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,5,1,6
VPN Soluçoes em TI LTDA (Venha para Nuvem),Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
VPN Soluçoes em TI LTDA (Venha para Nuvem),Security,Agentic Defense with Google Security,Security Command Center,2,,2
VPN Soluçoes em TI LTDA (Venha para Nuvem),Security,Agentic Defense with Google Security,Security Operations,3,1,4
VPN Soluçoes em TI LTDA (Venha para Nuvem),Security,Secure Innovation with Google Cloud,Cloud Security,,1,1
VPN Soluçoes em TI LTDA (Venha para Nuvem),Workspace,Agentic Workplace Transformation,Workspace,4,2,6
MadeinWeb S/A,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
MadeinWeb S/A,Application Modernization,"Migrate, Modernize and Build",Cloud Run,,,
MadeinWeb S/A,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,,,
MadeinWeb S/A,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,1,1
MadeinWeb S/A,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,4,,4
MadeinWeb S/A,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
MadeinWeb S/A,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,4,,4
MadeinWeb S/A,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,1,2,3
MadeinWeb S/A,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,4,,4
MadeinWeb S/A,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,4,,4
MadeinWeb S/A,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,,,
MadeinWeb S/A,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,,,
MadeinWeb S/A,Data & Analytics,The AI Ready Data Cloud,BigQuery,,,
MadeinWeb S/A,Data & Analytics,The AI Ready Data Cloud,Dataflow,,,
MadeinWeb S/A,Data & Analytics,The AI Ready Data Cloud,Dataproc,,,
MadeinWeb S/A,Data & Analytics,The AI Ready Data Cloud,Looker,,,
MadeinWeb S/A,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,,
MadeinWeb S/A,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,,,
MadeinWeb S/A,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
MadeinWeb S/A,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,,
MadeinWeb S/A,Databases,The AI Ready Data Cloud,Cloud SQL,,,
MadeinWeb S/A,Databases,The AI Ready Data Cloud,Spanner,,,
MadeinWeb S/A,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
MadeinWeb S/A,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,,
MadeinWeb S/A,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,,,
MadeinWeb S/A,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,,,
MadeinWeb S/A,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,,,
MadeinWeb S/A,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
MadeinWeb S/A,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
MadeinWeb S/A,Security,Agentic Defense with Google Security,Security Command Center,,,
MadeinWeb S/A,Security,Agentic Defense with Google Security,Security Operations,,,
MadeinWeb S/A,Security,Secure Innovation with Google Cloud,Cloud Security,,,
MadeinWeb S/A,Workspace,Agentic Workplace Transformation,Workspace,,,
CU2 CLOUD TEC STORE SL,Application Modernization,"Migrate, Modernize and Build",Apigee API Management,,,
CU2 CLOUD TEC STORE SL,Application Modernization,"Migrate, Modernize and Build",Cloud Run,6,2,8
CU2 CLOUD TEC STORE SL,Application Modernization,"Migrate, Modernize and Build",Google Kubernetes Engine,5,2,7
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Agentic Workplace Transformation,Gemini Enterprise,,,
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise Agent Platform,6,2,8
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Gemini Enterprise for Customer Experience,Gemini Enterprise for Customer Experience,,,
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Leverage Generative Media in your Business,Gemini Enterprise Agent Platform,6,2,8
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Scale AI Apps and Agents,AI Applications,4,2,6
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Scale AI Apps and Agents,Gemini Enterprise Agent Platform,6,2,8
CU2 CLOUD TEC STORE SL,Artificial Intelligence,Your Business. Your Models.,Gemini Enterprise Agent Platform,6,2,8
CU2 CLOUD TEC STORE SL,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",BigQuery,11,1,12
CU2 CLOUD TEC STORE SL,Data & Analytics,"Migrate, Modernize, and Build with Data Cloud",Dataflow,11,2,13
CU2 CLOUD TEC STORE SL,Data & Analytics,The AI Ready Data Cloud,BigQuery,11,1,12
CU2 CLOUD TEC STORE SL,Data & Analytics,The AI Ready Data Cloud,Dataflow,11,2,13
CU2 CLOUD TEC STORE SL,Data & Analytics,The AI Ready Data Cloud,Dataproc,1,,1
CU2 CLOUD TEC STORE SL,Data & Analytics,The AI Ready Data Cloud,Looker,6,,6
CU2 CLOUD TEC STORE SL,Databases,"Migrate, Modernize, and Build with Data Cloud",AlloyDB for PostgreSQL,,2,2
CU2 CLOUD TEC STORE SL,Databases,"Migrate, Modernize, and Build with Data Cloud",Cloud SQL,4,6,10
CU2 CLOUD TEC STORE SL,Databases,"Migrate, Modernize, and Build with Data Cloud",Spanner,,,
CU2 CLOUD TEC STORE SL,Databases,The AI Ready Data Cloud,AlloyDB for PostgreSQL,,2,2
CU2 CLOUD TEC STORE SL,Databases,The AI Ready Data Cloud,Cloud SQL,4,6,10
CU2 CLOUD TEC STORE SL,Databases,The AI Ready Data Cloud,Spanner,,,
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,Enterprise Platform of Choice: Oracle,Oracle,,,
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,Enterprise Platform of Choice: SAP,SAP on Google Cloud,,1,1
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,Enterprise Platform of Choice: VMware,Google Cloud VMware Engine,2,8,10
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,"Migrate, Modernize and Build",Google Cloud Networking,12,1,13
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,"Migrate, Modernize and Build",Google Compute Engine,12,,12
CU2 CLOUD TEC STORE SL,Infrastructure Modernization,Sovereignty,Google Distributed Cloud,,,
CU2 CLOUD TEC STORE SL,Security,Agentic Defense with Google Security,Google Threat Intelligence,,,
